cell,cell_ontology_class,tissue
C6.MAA000932.3_11_M.1.1,neuron,Brain_Non-Myeloid
H12.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
O19.MAA000923.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
A15.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
K2.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
C9.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
K18.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
O19.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
E4.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
K11.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
H17.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
F15.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
K6.MAA000615.3_10_M.1.1,neuron,Brain_Non-Myeloid
F20.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
I18.MAA000924.3_8_M.1.1,neuron,Brain_Non-Myeloid
C22.B003290.3_38_F.1.1,neuron,Brain_Non-Myeloid
N11.MAA000553.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
E4.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
L13.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
N13.B003728.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
B11.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
L11.MAA000947.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
I12.MAA000560.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
E15.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
L17.MAA000935.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
H5.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
G2.MAA001894.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
N2.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
C17.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
K19.B003728.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
L12.MAA000615.3_10_M.1.1,neuron,Brain_Non-Myeloid
D13.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
F17.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
A1.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
D13.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
B15.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
F21.B003290.3_38_F.1.1,neuron,Brain_Non-Myeloid
D10.MAA000578.3_10_M.1.1,neuron,Brain_Non-Myeloid
O11.MAA000935.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
A20.B003290.3_38_F.1.1,neuron,Brain_Non-Myeloid
